file,plot.UID,plot_nr,timestamp,spike_count,volume_mean,volume_sum,unique
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340088_FIP2_20230605_120003/FPWW0340088_FIP2_20230605_120003_filtered_results.csv,FPWW0340,88,2023-06-05,63,2155.253968253968,135781,FPWW0340088_FIP2_20230605_120003
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340282_FIP2_20230605_122318/FPWW0340282_FIP2_20230605_122318_filtered_results.csv,FPWW0340,282,2023-06-05,51,3032.078431372549,154636,FPWW0340282_FIP2_20230605_122318
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340268_FIP2_20230605_122052/FPWW0340268_FIP2_20230605_122052_filtered_results.csv,FPWW0340,268,2023-06-05,57,3033.3859649122805,172903,FPWW0340268_FIP2_20230605_122052
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340098_FIP2_20230605_120258/FPWW0340098_FIP2_20230605_120258_filtered_results.csv,FPWW0340,98,2023-06-05,38,2371.6052631578946,90121,FPWW0340098_FIP2_20230605_120258
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340217_FIP2_20230605_121831/FPWW0340217_FIP2_20230605_121831_filtered_results.csv,FPWW0340,217,2023-06-05,13,2128.0,27664,FPWW0340217_FIP2_20230605_121831
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340352_FIP2_20230605_123135/FPWW0340352_FIP2_20230605_123135_filtered_results.csv,FPWW0340,352,2023-06-05,43,4233.418604651163,182037,FPWW0340352_FIP2_20230605_123135
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340103_FIP2_20230605_120224/FPWW0340103_FIP2_20230605_120224_filtered_results.csv,FPWW0340,103,2023-06-05,48,2923.333333333333,140320,FPWW0340103_FIP2_20230605_120224
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340267_FIP2_20230605_122058/FPWW0340267_FIP2_20230605_122058_filtered_results.csv,FPWW0340,267,2023-06-05,46,3598.413043478261,165527,FPWW0340267_FIP2_20230605_122058
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340156_FIP2_20230605_120854/FPWW0340156_FIP2_20230605_120854_filtered_results.csv,FPWW0340,156,2023-06-05,38,2347.657894736842,89211,FPWW0340156_FIP2_20230605_120854
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340272_FIP2_20230605_122425/FPWW0340272_FIP2_20230605_122425_filtered_results.csv,FPWW0340,272,2023-06-05,38,3050.9736842105262,115937,FPWW0340272_FIP2_20230605_122425
