exp_UID,plot_UID,gen_id,genotype_name,lot,range_lot,row_lot,plot,plant_id,plant_UID,set
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,7,FPWW0340146_7,SFH
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,8,FPWW0340146_8,SFH
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,9,FPWW0340146_9,SFH
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,10,FPWW0340146_10,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,1,FPWW0340179_1,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,2,FPWW0340179_2,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,3,FPWW0340179_3,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,4,FPWW0340179_4,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,5,FPWW0340179_5,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,6,FPWW0340179_6,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,7,FPWW0340179_7,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,8,FPWW0340179_8,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,9,FPWW0340179_9,SFH
FPWW034,FPWW0340179,5,LEVIS,1,3,10,179,10,FPWW0340179_10,SFH
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,1,FPWW0340106_1,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,2,FPWW0340106_2,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,3,FPWW0340106_3,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,4,FPWW0340106_4,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,5,FPWW0340106_5,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,6,FPWW0340106_6,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,7,FPWW0340106_7,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,8,FPWW0340106_8,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,9,FPWW0340106_9,SFE
FPWW034,FPWW0340106,460,POSMEDA,1,4,6,106,10,FPWW0340106_10,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,1,FPWW0340111_1,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,2,FPWW0340111_2,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,3,FPWW0340111_3,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,4,FPWW0340111_4,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,5,FPWW0340111_5,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,6,FPWW0340111_6,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,7,FPWW0340111_7,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,8,FPWW0340111_8,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,9,FPWW0340111_9,SFE
FPWW034,FPWW0340111,15110234,DIAVEL & CAMINADA,1,4,7,111,10,FPWW0340111_10,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,1,FPWW0340142_1,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,2,FPWW0340142_2,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,3,FPWW0340142_3,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,4,FPWW0340142_4,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,5,FPWW0340142_5,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,6,FPWW0340142_6,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,7,FPWW0340142_7,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,8,FPWW0340142_8,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,9,FPWW0340142_9,SFE
FPWW034,FPWW0340142,589,Nogal,1,4,8,142,10,FPWW0340142_10,SFE
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,1,FPWW0340147_1,SFH
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,2,FPWW0340147_2,SFH
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,3,FPWW0340147_3,SFH
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,4,FPWW0340147_4,SFH
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,5,FPWW0340147_5,SFH
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,6,FPWW0340147_6,SFH
