"exp_UID","plot_UID","gen_id","genotype_name","lot","range_lot","row_lot","plot","plant_id","plant_UID","set","unique"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,2,"FPWW0360309_2","SFE","C82"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,3,"FPWW0360309_3","SFE","C83"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,4,"FPWW0360309_4","SFE","C84"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,5,"FPWW0360309_5","SFE","C85"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,6,"FPWW0360309_6","SFE","C86"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,7,"FPWW0360309_7","SFE","C87"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,8,"FPWW0360309_8","SFE","C88"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,9,"FPWW0360309_9","SFE","C89"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,10,"FPWW0360309_10","SFE","C90"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,1,"FPWW0360328_1","SFE","C91"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,2,"FPWW0360328_2","SFE","C92"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,3,"FPWW0360328_3","SFE","C93"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,4,"FPWW0360328_4","SFE","C94"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,5,"FPWW0360328_5","SFE","C95"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,6,"FPWW0360328_6","SFE","C96"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,7,"FPWW0360328_7","SFE","C97"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,8,"FPWW0360328_8","SFE","C98"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,9,"FPWW0360328_9","SFE","C99"
"FPWW036","FPWW0360328",448,"Bernstein",3,5,19,328,10,"FPWW0360328_10","SFE","C100"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,1,"FPWW0360305_1","SFE","C101"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,2,"FPWW0360305_2","SFE","C102"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,3,"FPWW0360305_3","SFE","C103"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,4,"FPWW0360305_4","SFE","C104"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,5,"FPWW0360305_5","SFE","C105"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,6,"FPWW0360305_6","SFE","C106"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,7,"FPWW0360305_7","SFE","C107"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,8,"FPWW0360305_8","SFE","C108"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,9,"FPWW0360305_9","SFE","C109"
"FPWW036","FPWW0360305",609,"BODELI",3,18,17,305,10,"FPWW0360305_10","SFE","C110"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,1,"FPWW0360298_1","SFE","C111"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,2,"FPWW0360298_2","SFE","C112"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,3,"FPWW0360298_3","SFE","C113"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,4,"FPWW0360298_4","SFE","C114"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,5,"FPWW0360298_5","SFE","C115"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,6,"FPWW0360298_6","SFE","C116"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,7,"FPWW0360298_7","SFE","C117"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,8,"FPWW0360298_8","SFE","C118"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,9,"FPWW0360298_9","SFE","C119"
"FPWW036","FPWW0360298",594,"Bologna",3,11,17,298,10,"FPWW0360298_10","SFE","C120"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,1,"FPWW0360308_1","SFE","C121"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,2,"FPWW0360308_2","SFE","C122"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,3,"FPWW0360308_3","SFE","C123"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,4,"FPWW0360308_4","SFE","C124"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,5,"FPWW0360308_5","SFE","C125"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,6,"FPWW0360308_6","SFE","C126"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,7,"FPWW0360308_7","SFE","C127"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,8,"FPWW0360308_8","SFE","C128"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,9,"FPWW0360308_9","SFE","C129"
"FPWW036","FPWW0360308",547,"BONAVAU",3,18,18,308,10,"FPWW0360308_10","SFE","C130"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,1,"FPWW0360332_1","SFE","C131"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,2,"FPWW0360332_2","SFE","C132"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,3,"FPWW0360332_3","SFE","C133"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,4,"FPWW0360332_4","SFE","C134"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,5,"FPWW0360332_5","SFE","C135"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,6,"FPWW0360332_6","SFE","C136"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,7,"FPWW0360332_7","SFE","C137"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,8,"FPWW0360332_8","SFE","C138"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,9,"FPWW0360332_9","SFE","C139"
"FPWW036","FPWW0360332",472,"CADLIMO",3,9,19,332,10,"FPWW0360332_10","SFE","C140"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,1,"FPWW0360296_1","SFE","C141"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,2,"FPWW0360296_2","SFE","C142"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,3,"FPWW0360296_3","SFE","C143"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,4,"FPWW0360296_4","SFE","C144"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,5,"FPWW0360296_5","SFE","C145"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,6,"FPWW0360296_6","SFE","C146"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,7,"FPWW0360296_7","SFE","C147"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,8,"FPWW0360296_8","SFE","C148"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,9,"FPWW0360296_9","SFE","C149"
"FPWW036","FPWW0360296",663,"CAMINADA",3,9,17,296,10,"FPWW0360296_10","SFE","C150"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,1,"FPWW0360336_1","SFE","C151"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,2,"FPWW0360336_2","SFE","C152"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,3,"FPWW0360336_3","SFE","C153"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,4,"FPWW0360336_4","SFE","C154"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,5,"FPWW0360336_5","SFE","C155"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,6,"FPWW0360336_6","SFE","C156"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,7,"FPWW0360336_7","SFE","C157"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,8,"FPWW0360336_8","SFE","C158"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,9,"FPWW0360336_9","SFE","C159"
"FPWW036","FPWW0360336",533,"CAMPANILE",3,13,19,336,10,"FPWW0360336_10","SFE","C160"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,1,"FPWW0360316_1","SFE","C161"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,2,"FPWW0360316_2","SFE","C162"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,3,"FPWW0360316_3","SFE","C163"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,4,"FPWW0360316_4","SFE","C164"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,5,"FPWW0360316_5","SFE","C165"
